Resort;Country;Latitude;Longitude
Tobo Ski;Canada;48.591256;-72.501612
Tri-Town;Canada;47.494166;-79.734564
Troll Resort;Canada;53.067245;-121.941598
Twin Towers Ski Area - PWT SnowPark;Canada;51.638263;-108.354866
Uplands Ski Centre;Canada;43.825425;-79.439435
Val Neigette;Canada;48.365431;-68.480959
Val Saint-C?me;Canada;46.272060;-73.866826
Val d?Ir?ne;Canada;48.471385;-67.568750
Vallee Bleue Ski Center;Canada;46.027279;-74.219552
Vallee du parc;Canada;46.617433;-72.800646
Vista Ridge;Canada;56.667088;-111.131548
Wapiti Valley;Canada;53.212994;-104.455473
Watson Lake Ski Hill;Canada;60.110170;-128.753273
Whispering Pines;Canada;56.782791;-119.405321
Whistler - Blackcomb;Canada;50.108333;-122.942500
White Hills Resort;Canada;48.162860;-54.047187
Whitewater;Canada;49.444500;-117.148000
Antillanca;Chile;-40.762861;-72.167816
Antuco;Chile;-37.404798;-71.341701
Cerro El Fraile;Chile;-45.607957;-71.965247
Cerro Mirador;Chile;-53.297582;-71.236575
Chapa Verde;Chile;-34.091907;-70.466286
Corralco;Chile;-38.371375;-71.586766
El Arpa;Chile;-32.816667;-70.350000
El Colorado;Chile;-33.349999;-70.249999
Farellones;Chile;-33.349741;-70.311761
La Parva;Chile;-33.336767;-70.292244
Lagunillas;Chile;-33.517593;-69.958358
Las Araucarias;Chile;-38.696560;-71.757669
Lonquimay;Chile;-38.388075;-71.579889
Nevados de Chilll?n;Chile;-36.839240;-71.417484
Portillo;Chile;-32.836471;-70.129509
Puc?n;Chile;-39.416666;-71.933333
Valle Nevado;Chile;-33.354140;-70.249446
Volc?n Osorno;Chile;-41.107301;-72.508992
Alshan;China;47.169555;119.950182
Anbo Ski Resort;China;39.813291;122.287370
Badaling;China;40.348004;115.950556
Baiyun International Ski Resort;China;43.445301;87.480898
Beidahu;China;43.414026;126.626530
Beijing Snow World Ski Park;China;40.271264;116.231166
Beishan Snow Big World;China;44.619505;129.620889
Cuiyunshan (Cuiyunshan Huaxuechang);China;40.945498;115.200905
Dolomiti Mountain Resort;China;40.942796;115.204546
Dongbeiya;China;42.045213;123.713093
Dragon Bay Seashore Ski Resort;China;40.659064;120.657596
Emeishan Ski Resort;China;29.521787;103.366928
Huaibei Ski Resort;China;40.445089;116.653544
